因变量:下一年净资产收益率,资产周转率,利润率,债务资本比率,成长速度(%),市倍率,收入质量,存货率,资产规模,当年净资产收益率
-1.151,0.331,0.299,0.817,0.188,11.919,0.0008,0.078,21.492,-0.403
0.338,0.611,0.3,0.2804,5.369,18.418,0.1338,0.167,20.456,0.211
0.722,0.794,0.016,0.5858,0.749,-20.886,0.1466,0.327,21.532,1.085
0.633,0.98,0.345,0.5664,1.107,-6.29,0.197,0.346,22.069,0.814
-0.039,0.236,0.366,0.1922,3.34,-11.308,0.0342,0.174,20.86,-0.011
-0.271,1.161,-0.035,0.6156,2.412,11.78,0.095,0.081,21.487,0.307
0.422,0.048,0.315,0.1648,0.17,-8.306,0.3742,0.079,21.3,0.315
0.163,0.283,0.299,0.3746,4.685,2.714,0.049,0.063,20.341,0.101
0.591,0.453,0.522,0.5258,5.356,-11.049,0.2438,0.141,20.588,0.978
-0.083,0.088,0.054,1.002,0.531,-2.754,0.1468,0.223,22.587,0.633
-0.078,0.327,0.324,0.0046,0.648,11.007,0.1108,0.099,21.515,-0.142
0.24,0.518,0.363,0.1016,0.008,6.683,0.113,0.034,20.305,0.751
0.837,0.574,0.192,1.1268,3.535,1.157,0.08,0,20.392,-0.043
0.257,0.39,0.321,0.5666,1.833,12.13,0.0968,0.085,21.509,0.616
0.297,0.192,0.297,0.277,2.261,0.141,0.0522,0.072,20.659,0.653
0.218,0.65,0.484,0.3396,0.219,-12.644,0.2608,0.15,21.579,0.956
0.394,0.989,0.238,0.3126,0.565,-4.592,0.0112,0.152,20.877,0.458
-0.19,0.659,0.057,0.076,0.248,3.552,0.0762,0.03,22.552,-0.109
0.298,0.69,0.306,1.267,1.957,-14.651,0.018,0.202,21.718,0.745
0.164,0.307,0.017,0.543,0.135,18.062,0.0392,0.186,20.652,0.428
-0.429,1.208,0.408,0.0922,1.822,8.97,0.3406,0.366,20.216,0.016
0.649,0.87,0.459,0.416,4.316,5.125,0.1742,0.115,20.252,1.196
-0.146,0.514,0.388,1.0738,4.78,-7.266,0.3646,0.135,22.059,-0.022
-0.257,0.722,0.218,0.4544,1.569,11.447,0.1282,0.213,20.518,-0.426
0.462,0.388,0.099,0.604,3.04,-9.093,0.182,0.182,22.384,0.326
0.288,0.966,0.066,0.7484,1.217,3.685,0.0018,0.247,21.738,0.292
-0.122,1.04,-0.028,0.3792,3.559,3.115,0.1318,0.189,22.103,0.465
0.851,0.295,0.222,0.069,2.416,4.453,0.3346,0.061,19.48,0.835
