因变量：平均成绩,性别,出生日期,企业性质,最高学历,最高学历毕业时间
86,男,70年代,国企,本科,90年代
88,女,60年代,外企,本科,90年代
82,男,70年代,国企,本科,90年代
82,男,70年代,国企,本科,90年代
70,男,60年代,外企,本科,90年代
86,男,60年代,国企,本科,80年代
87,女,60年代,国企,本科,80年代
82,女,70年代,外企,本科,90年代
81,男,60年代,外企,本科,80年代
81,女,60年代,民企,本科,80年代
60,男,50年代,国企,本科,80年代
81,男,70年代,国企,本科,90年代
86,女,70年代,国企,本科,90年代
85,男,60年代,国企,本科,90年代
84,男,60年代,民企,本科,90年代
85,男,70年代,国企,本科,00年代
84,男,60年代,国企,本科,80年代
84,男,70年代,国企,本科,90年代
82,男,60年代,国企,本科,90年代
80,女,60年代,外企,本科,90年代
50,男,60年代,国企,本科,80年代
84,男,60年代,民企,本科,90年代
79,男,70年代,国企,本科,90年代
60,男,60年代,国企,本科,90年代
89,女,60年代,外企,本科,80年代
86,男,60年代,国企,本科,90年代
88,男,70年代,国企,本科,90年代
82,女,70年代,外企,本科,00年代
89,男,60年代,国企,本科,80年代
86,男,70年代,国企,本科,90年代
81,男,60年代,国企,本科,80年代
85,女,60年代,民企,本科,90年代
85,女,70年代,国企,本科,90年代
86,男,70年代,民企,本科,90年代
83,男,70年代,民企,本科,90年代
91,女,60年代,外企,本科,90年代
88,女,60年代,国企,本科,80年代
86,男,60年代,国企,本科,90年代
87,男,70年代,国企,本科,00年代
89,女,70年代,国企,本科,90年代
88,男,60年代,外企,本科,90年代
86,女,70年代,民企,本科,90年代
87,女,70年代,外企,本科,90年代
87,男,70年代,民企,本科,90年代
76,男,60年代,外企,本科,80年代
85,男,60年代,国企,本科,90年代
85,男,60年代,国企,本科,80年代
85,男,70年代,民企,本科,00年代
84,男,60年代,外企,本科,80年代
85,男,70年代,国企,本科,90年代
87,女,60年代,国企,本科,90年代
83,女,70年代,国企,本科,00年代
77,男,70年代,外企,本科,90年代
86,女,70年代,国企,本科,90年代
83,女,60年代,国企,本科,90年代
83,女,70年代,外企,本科,90年代
85,女,60年代,民企,本科,90年代
83,男,60年代,民企,本科,90年代
82,女,70年代,外企,本科,00年代
83,男,70年代,国企,硕士或以上,90年代
80,男,70年代,民企,本科,90年代
83,男,60年代,外企,本科,90年代
83,男,60年代,民企,本科,80年代
78,男,70年代,国企,本科,90年代
80,男,70年代,国企,本科,00年代
85,男,60年代,国企,本科,90年代
79,男,60年代,外企,本科,90年代
79,男,70年代,外企,本科,00年代
79,男,70年代,民企,本科,90年代
78,女,70年代,外企,本科,00年代
78,女,60年代,外企,本科,90年代
79,男,70年代,民企,本科,00年代
79,女,70年代,国企,本科,90年代
74,男,70年代,国企,本科,00年代
85,男,70年代,国企,本科,00年代
60,男,70年代,民企,本科,90年代
82,女,70年代,国企,本科,90年代
82,男,60年代,民企,本科,90年代
79,女,70年代,国企,本科,90年代
84,男,70年代,国企,本科,90年代
85,女,70年代,国企,本科,90年代
74,男,50年代,民企,大专,80年代
60,男,50年代,外企,大专,80年代
69,男,60年代,国企,大专,80年代
60,男,50年代,国企,大专,80年代
75,男,60年代,国企,大专,80年代
76,男,60年代,国企,大专,80年代
81,男,50年代,国企,大专,80年代
80,男,60年代,国企,大专,80年代
82,男,60年代,国企,大专,90年代
65,男,60年代,民企,大专,90年代
75,男,70年代,外企,本科,90年代
67,男,60年代,国企,大专,90年代
70,男,60年代,民企,本科,90年代
75,女,70年代,国企,大专,90年代
77,男,60年代,国企,大专,90年代
73,男,70年代,外企,大专,90年代
65,女,70年代,外企,大专,90年代
77,男,70年代,民企,本科,90年代
73,男,70年代,外企,大专,90年代
83,男,70年代,国企,大专,90年代
76,男,70年代,外企,本科,90年代
61,男,70年代,民企,本科,90年代
81,男,70年代,民企,本科,90年代
81,男,60年代,国企,本科,00年代
74,女,50年代,民企,大专,00年代
68,女,70年代,外企,本科,00年代
66,女,70年代,民企,本科,00年代
72,男,70年代,民企,大专,00年代
77,男,60年代,国企,本科,00年代
80,男,50年代,民企,本科,80年代
74,女,60年代,民企,本科,80年代
80,男,60年代,外企,大专,80年代
81,男,60年代,民企,本科,80年代
81,男,60年代,国企,本科,80年代
82,女,60年代,民企,本科,80年代
84,男,60年代,外企,本科,80年代
88,男,60年代,民企,本科,80年代
81,女,60年代,外企,大专,80年代
82,男,60年代,外企,本科,80年代
83,男,60年代,国企,硕士或以上,90年代
81,男,60年代,国企,本科,90年代
88,男,60年代,外企,大专,90年代
80,男,60年代,民企,本科,90年代
82,男,60年代,民企,本科,90年代
80,男,70年代,外企,大专,90年代
80,男,70年代,外企,本科,90年代
89,男,70年代,民企,本科,90年代
82,男,70年代,外企,本科,90年代
86,男,70年代,民企,本科,90年代
81,男,70年代,民企,本科,90年代
86,男,70年代,民企,本科,90年代
87,男,70年代,民企,本科,90年代
77,女,70年代,民企,本科,00年代
87,男,60年代,民企,本科,00年代
89,男,60年代,民企,本科,00年代
75,女,50年代,民企,大专,00年代
77,男,70年代,国企,本科,90年代
79,男,70年代,国企,本科,90年代
76,男,70年代,国企,本科,90年代
81,男,60年代,国企,本科,90年代
79,男,60年代,国企,本科,80年代
79,男,50年代,国企,本科,80年代
80,女,60年代,国企,硕士或以上,80年代
79,男,70年代,国企,大专,00年代
77,男,60年代,国企,本科,80年代
84,男,70年代,国企,本科,90年代
76,男,60年代,国企,本科,80年代
75,男,60年代,国企,本科,80年代
72,男,60年代,国企,本科,80年代
81,女,60年代,国企,本科,90年代
85,男,70年代,国企,本科,90年代
79,男,60年代,国企,本科,90年代
81,男,70年代,国企,本科,90年代
83,女,60年代,国企,本科,90年代
83,男,70年代,国企,本科,90年代
74,男,60年代,国企,本科,80年代
85,女,70年代,国企,本科,00年代
83,男,70年代,国企,本科,90年代
82,男,60年代,国企,本科,80年代
76,男,50年代,国企,硕士或以上,00年代
77,男,60年代,国企,本科,80年代
81,女,60年代,国企,本科,90年代
78,男,70年代,国企,硕士或以上,90年代
81,男,60年代,国企,本科,80年代
83,男,60年代,国企,本科,80年代
71,男,60年代,国企,本科,80年代
73,男,70年代,外企,本科,90年代
73,男,60年代,国企,本科,80年代
73,男,70年代,外企,本科,90年代
74,男,60年代,外企,本科,90年代
75,男,70年代,国企,本科,90年代
