客户等级,主叫次数,被叫次数,通话时长,费用,流失
2,1.082858747,1.074697115,1.235385841,1.237546863,0
2,0.877437326,0.727557915,0.649850234,0.669675368,0
1,1.196428571,1.006702974,1.432644352,1.22371786,0
3,0.969991547,1.066810345,0.643757009,0.554007805,0
1,1.222591362,1.339578454,1.054216981,1.961699713,0
1,0.927400468,1.293061225,0.987318424,1.039144879,0
2,0.517737296,0.674325674,0.456644065,0.445067225,0
2,0.901314372,0.835245047,1.029258925,0.716163033,0
1,0.4786065,0.635714286,0.679923202,0.751674371,0
2,1.460811562,1.472392638,1.390746123,1.116031585,0
1,1.210084034,0.967468175,1.236316914,1.475496404,0
2,1.165966387,1.390231705,1.500480736,0.944971892,0
3,0.507518797,1.339285714,1.314653771,1.314785214,0
2,0.614640884,1.018243661,0.647809331,0.693655869,0
1,1.478405316,1.148016769,1.59414378,1.645584012,0
1,0.943942134,1.662593985,1.507041371,1.262143984,0
2,1.329829172,1.244208021,1.44563592,1.334142621,0
1,0.807459677,1.214389084,0.919114384,0.848763258,0
2,0.360248447,0.842044135,0.627184319,0.695441559,0
1,1.529793736,1.848833493,1.726511145,1.652240554,0
1,1.285714286,1.325301205,1.380612603,1.321541765,0
1,1.02955665,1.095674967,1.114577332,0.986657508,0
1,0.305164319,0.328282828,1.321747355,1.054147518,0
1,1.418067227,1.132536665,1.220188232,1.387245483,0
2,1.239351245,1.108060654,1.023077712,1.085075426,0
2,1.276260504,0.825057296,0.948281805,0.923531012,0
1,1.424721378,1.28143982,1.60709121,1.452713547,0
2,1.522029373,1.678866588,1.274296522,1.276247925,0
2,0.544066179,0.740176668,0.596405373,0.652231964,0
2,1.609950911,1.379825458,1.493694147,1.504177925,0
2,0.646350932,0.428571429,0.717515556,1.831217752,0
3,0.915642221,1.241704506,1.236518564,0.526663963,0
1,1.533950335,1.10514198,1.310027265,1.235822497,0
1,0.84790972,0.872674325,0.930345014,0.837744733,0
2,0.657340926,1.031038872,0.982288756,0.942362712,0
1,1.22,0,1.35364228,1.043259557,0
1,1.26984127,1.639012546,1.775601919,1.538084127,0
1,0.721298337,0.907361613,0.642643979,0.700950636,0
2,1.066692442,1.314316804,1.160096479,1.067982347,0
1,1.373784978,1.057790106,0.992063705,0.82945673,0
2,0.925272365,0.804173355,0.815542415,0.650968008,0
1,0.681318681,0.738095238,0.731608987,0.697040603,0
2,1.457052916,1.409624858,1.13504352,0.724462438,0
1,1.523591088,1.389719068,1.679712981,1.595507786,0
1,0.605633803,0.676008202,0.532533231,0.571632643,0
1,1.638095238,0.86,0.958981046,0.839781536,0
1,1.253837072,0.915988157,1.011342472,0.844132498,0
1,1.165338645,1.386036961,1.332976463,1.105852085,0
