Year,Mon,Dat,VALUE
1947,1,1,238.1
1947,4,1,241.5
1947,7,1,245.6
1947,10,1,255.6
1948,1,1,261.7
1948,4,1,268.7
1948,7,1,275.3
1948,10,1,276.6
1949,1,1,271.3
1949,4,1,267.5
1949,7,1,268.9
1949,10,1,266.3
1950,1,1,276.4
1950,4,1,285.8
1950,7,1,303.5
1950,10,1,314.9
1951,1,1,330.5
1951,4,1,338.5
1951,7,1,345.5
1951,10,1,350.1
1952,1,1,353.2
1952,4,1,354.2
1952,7,1,360.5
1952,10,1,373.3
1953,1,1,380.3
1953,4,1,384
1953,7,1,382.9
1953,10,1,377.7
1954,1,1,377.2
1954,4,1,378
1954,7,1,382.8
1954,10,1,391.8
1955,1,1,405
1955,4,1,413.3
1955,7,1,421.9
1955,10,1,428.5
1956,1,1,431.1
1956,4,1,437
1956,7,1,442.1
1956,10,1,450.6
1957,1,1,460.3
1957,4,1,462.5
1957,7,1,469.6
1957,10,1,464
1958,1,1,456.6
1958,4,1,460.7
1958,7,1,474.3
1958,10,1,487.6
1959,1,1,498.1
1959,4,1,511.1
1959,7,1,512.1
1959,10,1,516.3
1960,1,1,529.9
1960,4,1,529.2
1960,7,1,532.1
1960,10,1,527
1961,1,1,531.5
1961,4,1,542.4
1961,7,1,553
1961,10,1,566.2
1962,1,1,579.7
1962,4,1,587.2
1962,7,1,594.1
1962,10,1,598.1
1963,1,1,607
1963,4,1,615.5
1963,7,1,628.4
1963,10,1,638.1
1964,1,1,654.7
1964,4,1,663.7
1964,7,1,675.5
1964,10,1,680.3
1965,1,1,701.1
1965,4,1,713.8
1965,7,1,730.4
1965,10,1,752.2
1966,1,1,775.8
1966,4,1,785
1966,7,1,798.1
1966,10,1,812.2
1967,1,1,823
1967,4,1,827.4
1967,7,1,842.7
1967,10,1,858.3
1968,1,1,885.6
1968,4,1,910.1
1968,7,1,925.5
1968,10,1,942.5
1969,1,1,967.2
1969,4,1,982.3
1969,7,1,1002.3
1969,10,1,1010.5
1970,1,1,1023.4
1970,4,1,1039.7
1970,7,1,1057.1
1970,10,1,1058.7
1971,1,1,1105.5
1971,4,1,1126.7
1971,7,1,1146.3
1971,10,1,1159.1
1972,1,1,1198.3
1972,4,1,1233.7
1972,7,1,1258.2
1972,10,1,1295.6
1973,1,1,1345.8
1973,4,1,1383.1
1973,7,1,1404.6
1973,10,1,1446.1
1974,1,1,1463.6
1974,4,1,1501.2
1974,7,1,1528.9
1974,10,1,1566.1
1975,1,1,1580.8
1975,4,1,1616.6
1975,7,1,1675.4
1975,10,1,1729.9
1976,1,1,1787.7
1976,4,1,1820.9
1976,7,1,1854.8
1976,10,1,1902.4
1977,1,1,1959.3
1977,4,1,2026
1977,7,1,2086.9
1977,10,1,2129.6
1978,1,1,2171.2
1978,4,1,2293.5
1978,7,1,2356.1
1978,10,1,2440.6
1979,1,1,2489
1979,4,1,2555.9
1979,7,1,2635.8
1979,10,1,2695.9
1980,1,1,2762.1
1980,4,1,2763.8
1980,7,1,2819.6
1980,10,1,2943.8
1981,1,1,3082.8
1981,4,1,3114.3
1981,7,1,3209.7
1981,10,1,3232.3
1982,1,1,3220.9
1982,4,1,3281.9
1982,7,1,3309.4
1982,10,1,3346.6
1983,1,1,3415
1983,4,1,3519
1983,7,1,3625
1983,10,1,3727.8
1984,1,1,3844.4
1984,4,1,3943.8
1984,7,1,4013.3
1984,10,1,4067.2
1985,1,1,4143.5
1985,4,1,4204.3
1985,7,1,4282.5
1985,10,1,4345.8
1986,1,1,4406
1986,4,1,4439.7
1986,7,1,4509.8
1986,10,1,4555.3
1987,1,1,4625.2
1987,4,1,4705.2
1987,7,1,4782.5
1987,10,1,4903.1
1988,1,1,4974
1988,4,1,5082.6
1988,7,1,5163.9
1988,10,1,5274.7
1989,1,1,5383.9
1989,4,1,5476.6
1989,7,1,5558.4
1989,10,1,5613.4
1990,1,1,5738.3
1990,4,1,5828.5
1990,7,1,5877.2
1990,10,1,5895.8
1991,1,1,5918.1
1991,4,1,5988.9
1991,7,1,6057.2
