year,mon,day,yield
1919,1,1,5.35
1919,2,1,5.35
1919,3,1,5.39
1919,4,1,5.44
1919,5,1,5.39
1919,6,1,5.4
1919,7,1,5.44
1919,8,1,5.56
1919,9,1,5.6
1919,10,1,5.54
1919,11,1,5.66
1919,12,1,5.73
1920,1,1,5.75
1920,2,1,5.86
1920,3,1,5.92
1920,4,1,6.04
1920,5,1,6.25
1920,6,1,6.38
1920,7,1,6.34
1920,8,1,6.3
1920,9,1,6.22
1920,10,1,6.05
1920,11,1,6.08
1920,12,1,6.26
1921,1,1,6.14
1921,2,1,6.08
1921,3,1,6.08
1921,4,1,6.06
1921,5,1,6.11
1921,6,1,6.18
1921,7,1,6.12
1921,8,1,5.99
1921,9,1,5.93
1921,10,1,5.84
1921,11,1,5.6
1921,12,1,5.5
1922,1,1,5.34
1922,2,1,5.29
1922,3,1,5.23
1922,4,1,5.15
1922,5,1,5.13
1922,6,1,5.08
1922,7,1,5
1922,8,1,4.96
1922,9,1,4.93
1922,10,1,4.97
1922,11,1,5.09
1922,12,1,5.08
1923,1,1,5.04
1923,2,1,5.07
1923,3,1,5.13
1923,4,1,5.22
1923,5,1,5.16
1923,6,1,5.15
1923,7,1,5.14
1923,8,1,5.08
1923,9,1,5.12
1923,10,1,5.11
1923,11,1,5.09
1923,12,1,5.09
1924,1,1,5.09
1924,2,1,5.09
1924,3,1,5.1
1924,4,1,5.08
1924,5,1,5.04
1924,6,1,4.99
1924,7,1,4.95
1924,8,1,4.95
1924,9,1,4.95
1924,10,1,4.92
1924,11,1,4.94
1924,12,1,4.95
1925,1,1,4.95
1925,2,1,4.95
1925,3,1,4.91
1925,4,1,4.87
1925,5,1,4.83
1925,6,1,4.83
1925,7,1,4.87
1925,8,1,4.9
1925,9,1,4.87
1925,10,1,4.85
1925,11,1,4.84
1925,12,1,4.85
1926,1,1,4.82
1926,2,1,4.77
1926,3,1,4.79
1926,4,1,4.74
1926,5,1,4.71
1926,6,1,4.72
1926,7,1,4.71
1926,8,1,4.72
1926,9,1,4.72
1926,10,1,4.71
1926,11,1,4.68
1926,12,1,4.68
1927,1,1,4.66
1927,2,1,4.67
1927,3,1,4.62
1927,4,1,4.58
1927,5,1,4.57
1927,6,1,4.58
1927,7,1,4.6
1927,8,1,4.56
1927,9,1,4.54
1927,10,1,4.51
1927,11,1,4.49
1927,12,1,4.46
1928,1,1,4.46
1928,2,1,4.46
1928,3,1,4.46
1928,4,1,4.46
1928,5,1,4.49
1928,6,1,4.57
1928,7,1,4.61
1928,8,1,4.64
1928,9,1,4.61
1928,10,1,4.61
1928,11,1,4.58
1928,12,1,4.61
1929,1,1,4.62
1929,2,1,4.66
1929,3,1,4.7
1929,4,1,4.69
1929,5,1,4.7
1929,6,1,4.77
1929,7,1,4.77
1929,8,1,4.79
1929,9,1,4.8
1929,10,1,4.77
1929,11,1,4.76
1929,12,1,4.67
1930,1,1,4.66
1930,2,1,4.69
1930,3,1,4.62
1930,4,1,4.6
1930,5,1,4.6
1930,6,1,4.57
1930,7,1,4.52
1930,8,1,4.47
1930,9,1,4.42
1930,10,1,4.42
1930,11,1,4.47
1930,12,1,4.52
1931,1,1,4.42
1931,2,1,4.43
1931,3,1,4.39
1931,4,1,4.4
1931,5,1,4.37
1931,6,1,4.36
1931,7,1,4.36
1931,8,1,4.4
1931,9,1,4.55
1931,10,1,4.99
1931,11,1,4.94
1931,12,1,5.32
1932,1,1,5.2
1932,2,1,5.23
1932,3,1,4.98
1932,4,1,5.17
1932,5,1,5.36
1932,6,1,5.41
1932,7,1,5.26
1932,8,1,4.91
1932,9,1,4.7
1932,10,1,4.64
1932,11,1,4.63
1932,12,1,4.59
1933,1,1,4.44
1933,2,1,4.48
1933,3,1,4.68
1933,4,1,4.78
1933,5,1,4.63
1933,6,1,4.46
1933,7,1,4.36
1933,8,1,4.3
1933,9,1,4.36
1933,10,1,4.34
1933,11,1,4.54
1933,12,1,4.5
1934,1,1,4.35
1934,2,1,4.2
1934,3,1,4.13
1934,4,1,4.07
1934,5,1,4.01
1934,6,1,3.93
1934,7,1,3.89
1934,8,1,3.93
1934,9,1,3.96
1934,10,1,3.9
1934,11,1,3.86
1934,12,1,3.81
1935,1,1,3.77
1935,2,1,3.69
1935,3,1,3.67
1935,4,1,3.66
1935,5,1,3.65
1935,6,1,3.61
1935,7,1,3.56
1935,8,1,3.6
1935,9,1,3.59
1935,10,1,3.52
1935,11,1,3.47
1935,12,1,3.44
1936,1,1,3.37
1936,2,1,3.32
1936,3,1,3.29
1936,4,1,3.29
1936,5,1,3.27
1936,6,1,3.24
1936,7,1,3.23
1936,8,1,3.21
1936,9,1,3.18
1936,10,1,3.18
1936,11,1,3.15
1936,12,1,3.1
1937,1,1,3.1
1937,2,1,3.22
1937,3,1,3.32
1937,4,1,3.42
1937,5,1,3.33
1937,6,1,3.28
1937,7,1,3.25
1937,8,1,3.24
1937,9,1,3.28
1937,10,1,3.27
1937,11,1,3.24
1937,12,1,3.21
1938,1,1,3.17
1938,2,1,3.2
1938,3,1,3.22
1938,4,1,3.3
1938,5,1,3.22
1938,6,1,3.26
1938,7,1,3.22
1938,8,1,3.18
1938,9,1,3.21
1938,10,1,3.15
1938,11,1,3.1
1938,12,1,3.08
1939,1,1,3.01
1939,2,1,3
1939,3,1,2.99
1939,4,1,3.02
1939,5,1,2.97
1939,6,1,2.92
1939,7,1,2.89
1939,8,1,2.93
1939,9,1,3.25
1939,10,1,3.15
1939,11,1,3
1939,12,1,2.94
1940,1,1,2.88
1940,2,1,2.86
1940,3,1,2.84
1940,4,1,2.82
1940,5,1,2.93
1940,6,1,2.96
1940,7,1,2.88
1940,8,1,2.85
1940,9,1,2.82
1940,10,1,2.79
1940,11,1,2.75
1940,12,1,2.71
1941,1,1,2.75
1941,2,1,2.78
1941,3,1,2.8
1941,4,1,2.82
1941,5,1,2.81
1941,6,1,2.77
1941,7,1,2.74
1941,8,1,2.74
1941,9,1,2.75
1941,10,1,2.73
1941,11,1,2.72
1941,12,1,2.8
1942,1,1,2.83
1942,2,1,2.85
1942,3,1,2.86
1942,4,1,2.83
1942,5,1,2.85
1942,6,1,2.85
1942,7,1,2.83
1942,8,1,2.81
1942,9,1,2.8
1942,10,1,2.8
1942,11,1,2.79
1942,12,1,2.81
1943,1,1,2.79
1943,2,1,2.77
1943,3,1,2.76
1943,4,1,2.76
1943,5,1,2.74
1943,6,1,2.72
1943,7,1,2.69
1943,8,1,2.69
1943,9,1,2.69
1943,10,1,2.7
1943,11,1,2.71
1943,12,1,2.74
1944,1,1,2.72
1944,2,1,2.74
1944,3,1,2.74
1944,4,1,2.74
1944,5,1,2.73
1944,6,1,2.73
1944,7,1,2.72
1944,8,1,2.71
1944,9,1,2.72
1944,10,1,2.72
1944,11,1,2.72
1944,12,1,2.7
1945,1,1,2.69
1945,2,1,2.65
1945,3,1,2.62
1945,4,1,2.61
1945,5,1,2.62
1945,6,1,2.61
1945,7,1,2.6
1945,8,1,2.61
1945,9,1,2.62
1945,10,1,2.62
1945,11,1,2.62
1945,12,1,2.61
1946,1,1,2.54
1946,2,1,2.48
1946,3,1,2.47
1946,4,1,2.46
1946,5,1,2.51
1946,6,1,2.49
1946,7,1,2.48
1946,8,1,2.51
1946,9,1,2.58
1946,10,1,2.6
1946,11,1,2.59
1946,12,1,2.61
1947,1,1,2.57
1947,2,1,2.55
