均价,环线位置,装修状况,所在区县,有无地铁
3,2-3,jz,CY,Y
5.4,2-3,jz,CY,N
4,2-3,jz,CY,Y
4.5,2-3,jz,CY,Y
4.7,2-3,jz,CY,Y
6.3,2-3,jz,CY,Y
4.6,2-3,jz,CY,N
3.4,2-3,jz,CY,Y
2.6,2-3,mp,CY,Y
3.8,2-3,jz,CY,Y
3.1,2-3,jz,CY,Y
5.3,2-3,jz,CY,Y
4.1,2-3,jz,CY,Y
4.4,2-3,jz,CY,Y
4.6,2-3,jz,CY,Y
6.2,2-3,jz,CY,Y
4.4,2-3,jz,CY,N
3.5,2-3,jz,CY,Y
2.5,2-3,mp,CY,Y
3.9,2-3,jz,CY,Y
5.2,3-4,jz,CY,Y
2,3-4,jz,CY,Y
3.5,3-4,jz,CY,Y
4.5,3-4,jz,CY,Y
8,3-4,jz,CY,Y
4.6,3-4,jz,CY,Y
8.6,3-4,jz,CY,Y
6.3,3-4,jz,CY,Y
3.1,3-4,mp,CY,N
2.9,3-4,mp,CY,Y
5.1,3-4,jz,CY,Y
2.1,3-4,jz,CY,Y
3.4,3-4,jz,CY,Y
4.4,3-4,jz,CY,Y
7.9,3-4,jz,CY,Y
4.5,3-4,jz,CY,N
8.5,3-4,jz,CY,Y
6.4,3-4,jz,CY,Y
3,3-4,mp,CY,N
2.8,3-4,mp,CY,Y
3.4,4-5,jz,CY,N
3.5,4-5,mp,CY,Y
2.4,4-5,jz,CY,Y
4.3,4-5,jz,CY,Y
2.7,4-5,mp,CY,Y
3.3,4-5,jz,CY,Y
3.6,4-5,mp,CY,Y
2.5,4-5,jz,CY,N
4.4,4-5,jz,CY,Y
2.9,4-5,mp,CY,N
2.55,5-6,mp,CY,Y
2.5,5-6,mp,CY,N
2.4,5-6,jz,CY,Y
2.1,5-6,mp,CY,N
2.6,5-6,mp,CY,Y
2.4,5-6,mp,CY,Y
2.5,5-6,jz,CY,Y
2.05,5-6,mp,CY,Y
4.3,2-3,jz,FT,Y
4.2,2-3,jz,FT,N
1.8,3-4,mp,FT,Y
2.3,3-4,jz,FT,Y
2.8,3-4,mp,FT,Y
3.3,3-4,jz,FT,Y
3.2,3-4,jz,FT,Y
3.5,3-4,mp,FT,Y
3,3-4,mp,FT,N
3.2,3-4,jz,FT,Y
2.76,3-4,mp,FT,Y
2.45,3-4,mp,FT,N
3.8,3-4,jz,FT,Y
2.7,3-4,jz,FT,N
2.9,3-4,mp,FT,N
1.9,3-4,mp,FT,Y
2.2,3-4,jz,FT,Y
2.7,3-4,mp,FT,Y
3.2,3-4,jz,FT,Y
3.3,3-4,jz,FT,Y
3.6,3-4,mp,FT,Y
3.2,3-4,mp,FT,Y
3.1,3-4,jz,FT,N
2.8,3-4,mp,FT,Y
2.5,3-4,mp,FT,Y
3.7,3-4,jz,FT,N
2.8,3-4,jz,FT,Y
3,3-4,mp,FT,Y
3.1,4-5,jz,FT,Y
2.35,4-5,mp,FT,Y
2.48,4-5,mp,FT,Y
2.2,4-5,mp,FT,Y
3.1,4-5,jz,FT,Y
2.4,4-5,mp,FT,Y
2.4,4-5,mp,FT,Y
2.2,4-5,mp,FT,N
1.65,5-6,mp,FT,Y
1.7,5-6,mp,FT,Y
4.5,2-3,jz,HD,Y
5.5,2-3,jz,HD,Y
4.4,2-3,jz,HD,Y
5.6,2-3,jz,HD,Y
4.8,3-4,jz,HD,Y
3.2,3-4,jz,HD,N
3.3,3-4,mp,HD,Y
4.2,3-4,jz,HD,N
3.3,3-4,jz,HD,Y
2.8,3-4,jz,HD,N
2.8,3-4,jz,HD,Y
4.7,3-4,jz,HD,Y
3.3,3-4,jz,HD,Y
3.4,3-4,mp,HD,Y
4.1,3-4,jz,HD,Y
3.2,3-4,jz,HD,Y
2.9,3-4,jz,HD,Y
2.7,3-4,jz,HD,Y
3.2,4-5,mp,HD,N
3.8,4-5,jz,HD,N
3.8,4-5,jz,HD,Y
4,4-5,jz,HD,Y
2.8,4-5,mp,HD,Y
3.6,4-5,jz,HD,Y
3.3,4-5,mp,HD,Y
3.9,4-5,jz,HD,N
3.9,4-5,jz,HD,Y
4.1,4-5,jz,HD,Y
2.7,4-5,mp,HD,Y
3.5,4-5,jz,HD,Y
3.25,5-6,jz,HD,Y
1.85,5-6,jz,HD,Y
3.8,5-6,jz,HD,Y
2.2,5-6,mp,HD,Y
2.3,5-6,mp,HD,Y
3.9,5-6,mp,HD,N
2.9,5-6,jz,HD,Y
2.5,5-6,mp,HD,Y
2.4,5-6,jz,HD,Y
2.6,5-6,mp,HD,N
2.2,5-6,mp,HD,Y
3.15,5-6,jz,HD,Y
1.75,5-6,jz,HD,Y
3.7,5-6,jz,HD,N
2.1,5-6,mp,HD,Y
2.2,5-6,mp,HD,Y
3.8,5-6,mp,HD,Y
2.8,5-6,jz,HD,Y
2.6,5-6,mp,HD,Y
2.5,5-6,jz,HD,Y
2.7,5-6,mp,HD,Y
2.3,5-6,mp,HD,N
1.6,5-6,mp,TZ,Y
2.6,5-6,mp,TZ,Y
2.5,5-6,mp,TZ,Y
2,5-6,mp,TZ,Y
2.2,5-6,mp,TZ,Y
2.4,5-6,mp,TZ,Y
1.96,5-6,mp,TZ,Y
2,5-6,mp,TZ,Y
1.9,5-6,mp,TZ,Y
2.2,5-6,jz,TZ,Y
2.1,5-6,mp,TZ,Y
2.4,5-6,mp,TZ,Y
2.1,5-6,mp,TZ,Y
3.5,5-6,jz,TZ,N
1.7,5-6,mp,TZ,Y
2.7,5-6,mp,TZ,N
2.4,5-6,mp,TZ,Y
2.1,5-6,mp,TZ,Y
2.3,5-6,mp,TZ,Y
2.5,5-6,mp,TZ,Y
2,5-6,mp,TZ,Y
2.1,5-6,mp,TZ,N
1.8,5-6,mp,TZ,Y
2.1,5-6,jz,TZ,N
2,5-6,mp,TZ,Y
2.5,5-6,mp,TZ,Y
2,5-6,mp,TZ,Y
3.4,5-6,jz,TZ,N
1.8,6+,jz,TZ,Y
1.78,6+,mp,TZ,Y
1,6+,jz,TZ,N
0.8,6+,mp,TZ,Y
1.7,6+,jz,TZ,N
1.7,6+,mp,TZ,Y
1.1,6+,jz,TZ,Y
0.9,6+,mp,TZ,Y
